Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Mbps (Media de bajada),,
2022,2,Chaco,461,1047,17603,20109,8391,15974,76271,3708,143564,50.61,,
2022,2,Chubut,109,1444,45804,31217,34290,14526,15394,20021,162805,14.91,,
2022,2,Córdoba,99,11971,160486,120485,71923,28645,619400,13426,1026435,53.51,,
2022,2,Corrientes,67,3937,24253,24842,8001,21719,55071,7107,144997,43.31,,
2022,2,Entre Ríos,107,5656,48637,48557,18512,32355,98769,16759,269352,40.03,,
2022,2,Formosa,97,407,23834,19706,6330,591,16326,590,67881,28.47,,
2022,2,Jujuy,58,1829,19458,15790,37786,549,37391,2453,115314,29.39,,
2022,2,La Pampa,68,1887,62546,9842,11800,5247,17125,3012,111527,16.07,,
2022,2,La Rioja,18,728,3179,3890,23814,5481,48920,0,86030,43.28,,
2022,2,Mendoza,103,2954,44961,22557,64138,19543,121366,3940,279562,29.72,,
2022,2,Misiones,51,3808,37254,21712,12774,19757,75107,8350,178813,46.23,,
2022,2,Neuquén,134,999,38826,15066,9205,2039,76982,18717,161968,46.53,,
2022,2,Río Negro,111,1227,33364,17938,27168,13714,41972,24270,159764,33.26,,
2022,2,Salta,114,1530,33732,72661,6012,1156,81478,6494,203177,38.77,,
2022,2,San Juan,24,2027,30385,11276,24649,3728,16701,11617,100407,14.44,,
2022,2,San Luis,60,306,6840,21217,11052,67438,13,14815,121741,19.32,,
2022,2,Santa Cruz,52,6841,12348,11369,11885,2454,3592,644,49185,11.81,,
2022,2,Santa Fe,468,11757,138534,204381,74133,58114,373888,17584,878859,42.01,,
2022,2,Santiago Del Estero,178,1401,29581,59931,14606,883,10672,792,118044,16.34,,
2022,2,Tierra Del Fuego,22,831,12052,14828,19968,1712,1006,3351,53770,10.97,,
2022,2,Tucumán,39,2195,34461,43513,23634,4863,145541,281,254527,50.09,,
