Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada)
2021,1,Chaco,43.14,12,33.63
2021,1,Chubut,68.99,21,7.53
2021,1,Córdoba,78.59,24,36.17
2021,1,Corrientes,42.66,11,25.99
2021,1,Entre Ríos,60.44,18,23.87
2021,1,Formosa,32.73,8,20.98
2021,1,Jujuy,55.63,14,26.78
2021,1,La Pampa,81.78,27,10.73
2021,1,La Rioja,49.81,13,12.7
2021,1,Mendoza,39.15,11,12.6
2021,1,Misiones,43.17,12,25.08
2021,1,Neuquén,66.84,20,34.24
2021,1,Río Negro,60.88,19,21.92
2021,1,Salta,53.93,13,27.32
2021,1,San Juan,39.06,10,6.91
2021,1,San Luis,81.24,23,21.59
2021,1,Santa Cruz,41.65,12,7.5
2021,1,Santa Fe,73.92,23,28.13
2021,1,Santiago Del Estero,45.67,11,11.58
2021,1,Tierra Del Fuego,77.35,23,8.73
2021,1,Tucumán,54.82,14,37.98
2020,4,Buenos Aires,68.98,23,50.01
2020,4,Capital Federal,108.31,45,67.33
2020,4,Catamarca,49.41,13,37.65
2020,4,Chaco,43.03,12,32.45
2020,4,Chubut,68.35,21,7.38
2020,4,Córdoba,78.08,24,35.12
2020,4,Corrientes,42.43,11,25.45
2020,4,Entre Ríos,59.47,18,24.05
2020,4,Formosa,32.49,8,19.7
2020,4,Jujuy,53.46,14,25.21
2020,4,La Pampa,81.77,27,9.88
2020,4,La Rioja,50.11,13,12.53
2020,4,Mendoza,38.63,11,11.09
2020,4,Misiones,42.64,12,24.96
2020,4,Neuquén,67.0,20,33.91
2020,4,Río Negro,61.09,19,21.64
2020,4,Salta,54.04,13,25.32
2020,4,San Juan,36.32,9,6.41
2020,4,San Luis,81.68,23,21.25
2020,4,Santa Cruz,37.0,11,7.49
2020,4,Santa Fe,73.58,23,27.29
2020,4,Santiago Del Estero,43.75,11,11.28
2020,4,Tierra Del Fuego,76.27,23,8.49
2020,4,Tucumán,54.78,14,36.44
2020,3,Buenos Aires,67.66,22,48.38
2020,3,Capital Federal,107.68,45,63.81
2020,3,Catamarca,47.16,12,36.54
2020,3,Chaco,41.54,11,30.8
2020,3,Chubut,68.34,21,7.4
2020,3,Córdoba,75.22,23,33.51
2020,3,Corrientes,41.75,11,23.85
2020,3,Entre Ríos,58.19,17,22.43
2020,3,Formosa,31.91,8,18.28
2020,3,Jujuy,54.04,14,21.91
2020,3,La Pampa,79.26,26,10.7
2020,3,La Rioja,50.12,13,12.19
2020,3,Mendoza,37.35,10,10.19
2020,3,Misiones,41.6,11,24.14
2020,3,Neuquén,65.24,19,31.46
2020,3,Río Negro,57.05,18,21.08
2020,3,Salta,52.32,13,25.26
2020,3,San Juan,38.79,10,6.03
2020,3,San Luis,79.96,23,20.85
2020,3,Santa Cruz,35.95,11,6.65
2020,3,Santa Fe,72.12,23,25.69
2020,3,Santiago Del Estero,43.38,11,10.88
2020,3,Tierra Del Fuego,76.81,23,8.51
2020,3,Tucumán,53.23,13,34.84
2020,2,Buenos Aires,65.22,22,45.66
2020,2,Capital Federal,106.41,44,60.48
2020,2,Catamarca,45.43,12,34.93
2020,2,Chaco,39.83,11,27.95
2020,2,Chubut,57.34,18,7.61
2020,2,Córdoba,72.71,22,30.99
2020,2,Corrientes,40.3,11,22.15
2020,2,Entre Ríos,56.54,17,20.45
2020,2,Formosa,31.14,8,16.87
2020,2,Jujuy,47.89,12,15.86
2020,2,La Pampa,76.1,25,8.03
2020,2,La Rioja,49.84,13,11.67
2020,2,Mendoza,36.25,10,9.27
2020,2,Misiones,40.89,11,22.56
2020,2,Neuquén,63.9,19,29.1
2020,2,Río Negro,56.37,17,19.68
2020,2,Salta,51.58,12,22.56
2020,2,San Juan,35.09,9,6.31
2020,2,San Luis,78.41,22,21.02
2020,2,Santa Cruz,35.79,11,6.59
2020,2,Santa Fe,70.0,22,23.93
2020,2,Santiago Del Estero,43.47,11,10.41
2020,2,Tierra Del Fuego,76.37,23,8.13
2020,2,Tucumán,51.78,13,32.7
2020,1,Buenos Aires,64.33,21,45.18
2020,1,Capital Federal,105.98,44,58.71
2020,1,Catamarca,37.62,10,29.13
2020,1,Chaco,37.48,10,25.94
2020,1,Chubut,51.27,16,7.12
2020,1,Córdoba,70.69,22,29.39
2020,1,Corrientes,38.73,10,20.54
2020,1,Entre Ríos,56.12,17,19.03
2020,1,Formosa,30.23,8,15.7
2020,1,Jujuy,46.67,12,14.14
2020,1,La Pampa,75.77,25,7.29
2020,1,La Rioja,46.35,12,7.96
2020,1,Mendoza,33.14,9,8.44
2020,1,Misiones,39.02,11,22.15
2020,1,Neuquén,61.85,18,27.77
2020,1,Río Negro,55.12,17,19.06
2020,1,Salta,49.6,12,21.43
2020,1,San Juan,32.39,8,6.04
2020,1,San Luis,76.31,22,20.99
2020,1,Santa Cruz,35.97,11,6.42
2020,1,Santa Fe,69.52,22,22.42
2020,1,Santiago Del Estero,42.47,11,10.0
2020,1,Tierra Del Fuego,76.07,23,7.41
2020,1,Tucumán,47.85,12,32.25
2019,4,Buenos Aires,64.25,21,30.77
2019,4,Capital Federal,106.25,44,44.2
2019,4,Catamarca,36.44,9,24.88
2019,4,Chaco,36.84,10,23.37
2019,4,Chubut,51.15,16,6.99
2019,4,Córdoba,70.48,22,26.16
2019,4,Corrientes,38.77,10,19.26
2019,4,Entre Ríos,57.99,17,17.01
2019,4,Formosa,30.47,8,14.53
2019,4,Jujuy,45.38,12,12.96
2019,4,La Pampa,76.92,25,6.53
2019,4,La Rioja,47.14,13,8.0
2019,4,Mendoza,33.65,9,7.79
2019,4,Misiones,39.79,11,20.32
2019,4,Neuquén,59.36,18,26.02
2019,4,Río Negro,55.71,17,17.18
2019,4,Salta,50.35,12,19.08
2019,4,San Juan,32.85,8,6.04
2019,4,San Luis,74.92,21,20.69
2019,4,Santa Cruz,36.71,11,5.21
2019,4,Santa Fe,69.48,22,20.55
2019,4,Santiago Del Estero,42.92,11,9.79
2019,4,Tierra Del Fuego,79.7,24,7.27
2019,4,Tucumán,47.65,12,29.87
2019,3,Buenos Aires,69.36,23,25.68
2019,3,Capital Federal,112.65,47,38.71
2019,3,Catamarca,30.88,8,9.29
2019,3,Chaco,35.85,10,19.99
2019,3,Chubut,47.57,15,6.97
2019,3,Córdoba,68.59,21,23.19
2019,3,Corrientes,38.49,10,16.7
2019,3,Entre Ríos,57.9,17,14.7
2019,3,Formosa,30.11,8,13.22
2019,3,Jujuy,44.32,11,11.97
