Año,Trimestre,Provincia,Tipo Conexion,Accesos
2021,2,Tucumán,ADSL,110429
2021,1,Buenos Aires,ADSL,629679
2021,1,Capital Federal,ADSL,159805
2021,1,Catamarca,ADSL,26316
2021,1,Chaco,ADSL,43214
2021,1,Chubut,ADSL,45501
2021,1,Córdoba,ADSL,260350
2021,1,Corrientes,ADSL,49160
2021,1,Entre Ríos,ADSL,83688
2021,1,Formosa,ADSL,20663
2021,1,Jujuy,ADSL,32254
2021,1,La Pampa,ADSL,8946
2021,1,La Rioja,ADSL,17363
2021,1,Mendoza,ADSL,91844
2021,1,Misiones,ADSL,48292
2021,1,Neuquén,ADSL,30223
2021,1,Río Negro,ADSL,48777
2021,1,Salta,ADSL,54768
2021,1,San Juan,ADSL,40072
2021,1,San Luis,ADSL,8417
2021,1,Santa Cruz,ADSL,12347
2021,1,Santa Fe,ADSL,277012
2021,1,Santiago Del Estero,ADSL,26468
2021,1,Tierra Del Fuego,ADSL,12853
2021,1,Tucumán,ADSL,147199
2020,4,Buenos Aires,ADSL,635651
2020,4,Capital Federal,ADSL,163060
2020,4,Catamarca,ADSL,26870
2020,4,Chaco,ADSL,44332
2020,4,Chubut,ADSL,45703
2020,4,Córdoba,ADSL,267396
2020,4,Corrientes,ADSL,50102
2020,4,Entre Ríos,ADSL,85683
2020,4,Formosa,ADSL,21264
2020,4,Jujuy,ADSL,32850
2020,4,La Pampa,ADSL,9009
2020,4,La Rioja,ADSL,17513
2020,4,Mendoza,ADSL,91842
2020,4,Misiones,ADSL,49462
2020,4,Neuquén,ADSL,30468
2020,4,Río Negro,ADSL,48991
2020,4,Salta,ADSL,56659
2020,4,San Juan,ADSL,40072
2020,4,San Luis,ADSL,8417
2020,4,Santa Cruz,ADSL,12347
2020,4,Santa Fe,ADSL,287271
2020,4,Santiago Del Estero,ADSL,26812
2020,4,Tierra Del Fuego,ADSL,12853
2020,4,Tucumán,ADSL,149322
2020,3,Buenos Aires,ADSL,653930
2020,3,Capital Federal,ADSL,170375
2020,3,Catamarca,ADSL,26868
2020,3,Chaco,ADSL,45745
