Año,Trimestre,Provincia,Rango Velocidad,Accesos
2021,3,San Juan,HASTA 512 kbps,18
2021,3,San Luis,HASTA 512 kbps,60
2021,3,Santa Cruz,HASTA 512 kbps,50
2021,3,Santa Fe,HASTA 512 kbps,467
2021,3,Santiago Del Estero,HASTA 512 kbps,123
2021,3,Tierra Del Fuego,HASTA 512 kbps,17
2021,3,Tucumán,HASTA 512 kbps,32
2021,2,Buenos Aires,HASTA 512 kbps,37192
2021,2,Capital Federal,HASTA 512 kbps,294
2021,2,Catamarca,HASTA 512 kbps,71
2021,2,Chaco,HASTA 512 kbps,301
2021,2,Chubut,HASTA 512 kbps,104
2021,2,Córdoba,HASTA 512 kbps,99
2021,2,Corrientes,HASTA 512 kbps,67
2021,2,Entre Ríos,HASTA 512 kbps,107
2021,2,Formosa,HASTA 512 kbps,381
2021,2,Jujuy,HASTA 512 kbps,48
2021,2,La Pampa,HASTA 512 kbps,298
2021,2,La Rioja,HASTA 512 kbps,18
2021,2,Mendoza,HASTA 512 kbps,36
2021,2,Misiones,HASTA 512 kbps,51
2021,2,Neuquén,HASTA 512 kbps,112
2021,2,Río Negro,HASTA 512 kbps,125
2021,2,Salta,HASTA 512 kbps,101
2021,2,San Juan,HASTA 512 kbps,18
2021,2,San Luis,HASTA 512 kbps,60
2021,2,Santa Cruz,HASTA 512 kbps,50
2021,2,Santa Fe,HASTA 512 kbps,467
2021,2,Santiago Del Estero,HASTA 512 kbps,123
2021,2,Tierra Del Fuego,HASTA 512 kbps,17
2021,2,Tucumán,HASTA 512 kbps,32
2021,1,Buenos Aires,HASTA 512 kbps,36939
2021,1,Capital Federal,HASTA 512 kbps,135
2021,1,Catamarca,HASTA 512 kbps,71
2021,1,Chaco,HASTA 512 kbps,301
2021,1,Chubut,HASTA 512 kbps,106
2021,1,Córdoba,HASTA 512 kbps,93
2021,1,Corrientes,HASTA 512 kbps,67
2021,1,Entre Ríos,HASTA 512 kbps,105
2021,1,Formosa,HASTA 512 kbps,56
2021,1,Jujuy,HASTA 512 kbps,49
2021,1,La Pampa,HASTA 512 kbps,298
2021,1,La Rioja,HASTA 512 kbps,18
2021,1,Mendoza,HASTA 512 kbps,28
2021,1,Misiones,HASTA 512 kbps,51
2021,1,Neuquén,HASTA 512 kbps,116
2021,1,Río Negro,HASTA 512 kbps,125
2021,1,Salta,HASTA 512 kbps,109
2021,1,San Juan,HASTA 512 kbps,25
2021,1,San Luis,HASTA 512 kbps,58
2021,1,Santa Cruz,HASTA 512 kbps,50
2021,1,Santa Fe,HASTA 512 kbps,518
2021,1,Santiago Del Estero,HASTA 512 kbps,123
2021,1,Tierra Del Fuego,HASTA 512 kbps,17
2021,1,Tucumán,HASTA 512 kbps,29
2020,4,Buenos Aires,HASTA 512 kbps,36939
2020,4,Capital Federal,HASTA 512 kbps,135
2020,4,Catamarca,HASTA 512 kbps,71
2020,4,Chaco,HASTA 512 kbps,301
2020,4,Chubut,HASTA 512 kbps,106
2020,4,Córdoba,HASTA 512 kbps,119
2020,4,Corrientes,HASTA 512 kbps,67
2020,4,Entre Ríos,HASTA 512 kbps,105
2020,4,Formosa,HASTA 512 kbps,56
2020,4,Jujuy,HASTA 512 kbps,49
2020,4,La Pampa,HASTA 512 kbps,298
2020,4,La Rioja,HASTA 512 kbps,18
2020,4,Mendoza,HASTA 512 kbps,28
2020,4,Misiones,HASTA 512 kbps,51
2020,4,Neuquén,HASTA 512 kbps,116
2020,4,Río Negro,HASTA 512 kbps,125
2020,4,Salta,HASTA 512 kbps,109
2020,4,San Juan,HASTA 512 kbps,25
2020,4,San Luis,HASTA 512 kbps,58
2020,4,Santa Cruz,HASTA 512 kbps,47
2020,4,Santa Fe,HASTA 512 kbps,518
2020,4,Santiago Del Estero,HASTA 512 kbps,123
2020,4,Tierra Del Fuego,HASTA 512 kbps,17
2020,4,Tucumán,HASTA 512 kbps,29
2020,3,Buenos Aires,HASTA 512 kbps,37542
2020,3,Capital Federal,HASTA 512 kbps,264
2020,3,Catamarca,HASTA 512 kbps,63
2020,3,Chaco,HASTA 512 kbps,308
2020,3,Chubut,HASTA 512 kbps,158
2020,3,Córdoba,HASTA 512 kbps,168
2020,3,Corrientes,HASTA 512 kbps,72
2020,3,Entre Ríos,HASTA 512 kbps,130
2020,3,Formosa,HASTA 512 kbps,391
2020,3,Jujuy,HASTA 512 kbps,55
2020,3,La Pampa,HASTA 512 kbps,293
2020,3,La Rioja,HASTA 512 kbps,21
2020,3,Mendoza,HASTA 512 kbps,58
2020,3,Misiones,HASTA 512 kbps,71
